id,región,provincia,distrito
080000,cusco,,
080100,cusco,cusco,
080101,cusco,cusco,cusco
080102,cusco,cusco,ccorca
080103,cusco,cusco,poroy
080104,cusco,cusco,san jerónimo
080105,cusco,cusco,san sebastian
080106,cusco,cusco,santiago
080107,cusco,cusco,saylla
080108,cusco,cusco,wanchaq
